provision,document,section,model_parameter_or_class,model_file,model_effect,sobol_parameter,sobol_bounds,validation_layer,validation_status,notes
NYC 800 MGD diversion right,1954 Decree,Art. III-A-3,demand_nyc / VolBalanceNYCDemand,model_builder.py L1145,NYC withdraws from DRB watershed up to 800 MGD; STARFIT operating rules govern reservoir draw-down,—,—,Integration: delivery_nyc recorder in HDF5,IMPLEMENTED,Decree-established allotment; model uses historical extrapolated demands
Montague MRF 1750 cfs,1954 Decree,Art. III-B-1(b),mrf_baseline_delMontague = 1131.05 MGD,constants.csv,NYC releases water to maintain Montague ≥ 1131 MGD; TotalReleaseNeededForDownstreamMRF computes daily target,—,—,Integration: link_delMontague recorder; de_metrics() / ny_metrics() check threshold,IMPLEMENTED,1750 cfs = 1131.05 MGD after Cannonsville (Decree Art. III-B-1(b))
ERQ seasonal release,1954 Decree,Art. III-B-1(c)-(d),ERQRelease (erq_release_nyc),banks.py,NYC releases 70 BG Jun 15–Mar 15; 583 MGD/day for 120 days; contributes 11.6% of Trenton flow during season,erq_cap_mg,[50000 100000],Unit: 37/37 pass; Integration: 1188/1188 days match (100%); Figure: erq_diagnostic.png,IMPLEMENTED 2026-06-02,Cap always binds at typical NYC consumption; erq_cap_mg is the Sobol parameter (not erq_fraction)
Trenton flow objective,1954 Decree / FFMP,Art. III-B-1(b) / FFMP §2.3,mrf_baseline_delTrenton = 1938.95 MGD,constants.csv,NYC + LB releases maintain Trenton ≥ 1938.95 MGD; used as DE reliability threshold in de_metrics(),—,—,Integration: link_delTrenton recorder; de_reliability metric,IMPLEMENTED,FFMP elevated TFO above Decree minimum
NJ 100 MGD baseline right,1954 Decree,Art. V.B.1,max_flow_baseline_monthlyAvg_delivery_nj,constants.csv,NJ may divert up to 100 MGD monthly average; normal delivery cap,—,—,Integration: delivery_nj recorder; nj_delivery_reliability metric,IMPLEMENTED,Decree establishes 100 MGD as baseline right
NJ Warning stage cap (70 MGD),Water Code,§2.5.6.C.1,lb_level1_factor_delivery_nj = 0.70,constants.csv,When LB drought stage = 1 (Warning): NJ cap drops to 70 MGD via FfmpNjRunningAvg,q_nj_warning,[60 80],Unit: lb_level1_factor constant=0.70; Integration: combined_drought_factor_delivery_nj min check; Figure: nj_lb_coupling_diagnostic.png,IMPLEMENTED; SOBOL PLACEHOLDER,Injection of q_nj_warning not yet wired; UserWarning emitted
NJ Drought stage cap (65 MGD),Water Code,§2.5.6.D.1,lb_level2_factor_delivery_nj = 0.65,constants.csv,When LB drought stage = 2 (Drought): NJ cap drops to 65 MGD,—,—,Integration: combined_drought_factor_delivery_nj; nj_metrics() counts restriction days,IMPLEMENTED,
LB Warning entry (OR rule),Water Code,§2.5.6.C,LowerBasinDroughtLevel (BETZ_WARNING_FRAC=0.737 OR BM_WARNING_FRAC=0.689),ffmp.py,Drought stage flips to 1 when Beltzville < 73.7% OR Blue Marsh < 68.9% DRBC usable storage,alpha_betz_warning / alpha_bm_warning,[0.64-0.84] / [0.59-0.79],Unit: 50/50 pass; Integration: drought_level_agg_lb recorder ≥ 99% match; Figure: lb_drought_stage_diagnostic.png,IMPLEMENTED,OR rule (not AND) is deliberate approximation — see validate_lb_drought_stage.py deliberate_approx comment
LB Warning exit hysteresis (30-day),Water Code,§2.5.6.C.7 (approx),LowerBasinDroughtLevel (RECOVERY_PERSIST_DAYS=30),ffmp.py,Stage reverts only after 30 consecutive days both reservoirs above threshold; immediate exit on spill,tau_recovery,[20 45],Unit: 30-day exit tests PASS; Integration: hysteresis_days reported,IMPLEMENTED,30 days is approximation of §2.5.6.C.7; exact text reads "30 consecutive days" — see notes
LB Drought entry (3-day AND rule),Water Code,§2.5.6.D,LowerBasinDroughtLevel (DROUGHT_PERSIST_DAYS=3 AND both below),ffmp.py,Stage 2 requires both Beltzville < 38.0% AND Blue Marsh < 36.8% for 3 consecutive days,—,—,Unit: 3-day persistence tests PASS; Integration: 2004 event check,IMPLEMENTED,
